name,order,rank,slug,revenues_m,revenue_percent_change,profits_m,profits_percent_change,assets_m,total_shareholder_equity,profit_as_of_revenues,profits_as_of_assets,profit_as_a_of_shareholder_equity,industry,headquarters_state,market_value_m,ticker,year,employees,headquarters_city,gained_in_rank,dropped_in_rank,newcomer_to_the_fortune_500,profitable,founder_is_ceo,foreign_born_ceo,female_ceo,growth_in_jobs,sector,global_500,best_companies,world_s_most_admired_companies,change_the_world,fastest_growing_companies,change_in_rank_full_1000,change_in_rank_500_only,measure_up,measure_up_rank,state
Ingram Micro Inc.,69,69,/company/ingram-micro-inc/,"$42,554",12.5%,$311,1.5%,"$11,791","3,950",0.7%,2.6%,7.9,Wholesalers: Electronics and Office Equipment,CA,"$4,568",IM,2014,,,,,,,,,,,,,,,,,,,,,
Plains GP Holdings,70,70,/company/plains-gp-holdings/,"$42,249",11.8%,$15,400%,"$21,453","1,035",,0.1%,1.4,Pipelines,TX,"$3,800",PAGP,2014,,,,,,,,,,,,,,,,,,,,,
World Kinect,71,71,/company/world-fuel-services/,"$41,562",6.7%,$203,7.3%,"$4,739","1,674",0.5%,4.3%,12.1,Wholesalers: Diversified,FL,"$3,170",WKC,2014,,,,,,,,,,,,,,,,,,,,,
Prudential Financial,72,72,/company/prudential-financial/,"$41,471",-51.1%,$-667,-242.2%,"$731,781","35,278",-1.6%,-0.1%,-1.9,"Insurance: Life, Health (stock)",NJ,"$39,190",PRU,2014,,,,,,,,,,,,,,,,,,,,,
Humana,73,73,/company/humana/,"$41,313",5.6%,"$1,231",0.7%,"$20,735","9,316",3%,5.9%,13.2,Health Care: Insurance and Managed Care,KY,"$17,362",HUM,2014,,,,,,,,,,,,,,,,,,,,,
Goldman Sachs Group,74,74,/company/goldman-sachs-group/,"$40,874",-1.9%,"$8,040",7.6%,"$911,507","78,467",19.7%,0.9%,10.2,Commercial Banks,NY,"$73,646",GS,2014,,,,,,,,,,,,,,,,,,,,,
Tesoro Corporation,75,75,/company/tesoro-corporation/,"$39,193",20.7%,$412,-44.5%,"$13,389","4,302",1.1%,3.1%,9.6,Petroleum Refining,TX,"$6,667",TSO,2014,,,,,,,,,,,,,,,,,,,,,
Liberty Mutual Insurance Group,76,76,/company/liberty-mutual-insurance-group/,"$39,133",5.9%,"$1,743",110.3%,"$121,282","18,968",4.5%,1.4%,9.2,Insurance: Property and Casualty (Stock),MA,,,2014,,,,,,,,,,,,,,,,,,,,,
Honeywell International,77,77,/company/honeywell-international/,"$39,055",3.7%,"$3,924",34.1%,"$45,435","17,467",10%,8.6%,22.5,"Electronics, Electrical Equip.",NJ,"$72,537",HON,2014,,,,,,,,,,,,,,,,,,,,,
United Airlines Holdings,78,78,/company/united-continental-holdings/,"$38,279",3%,$571,,"$36,812","2,984",1.5%,1.6%,19.1,Airlines,IL,"$16,582",UAL,2014,,,,,,,,,,,,,,,,,,,,,
HCA Healthcare,79,79,/company/hca-holdings/,"$38,040",3.4%,"$1,556",-3.1%,"$28,831","-8,270",4.1%,5.4%,,Health Care: Medical Facilities,TN,"$23,297",HCA,2014,,,,,,,,,,,,,,,,,,,,,
Deere,80,80,/company/deere/,"$37,795",4.5%,"$3,537",15.4%,"$59,521","10,266",9.4%,5.9%,34.5,Construction and Farm Machinery,IL,"$33,568",DE,2014,,,,,,,,,,,,,,,,,,,,,
Delta Air Lines,81,81,/company/delta-air-lines/,"$37,773",3%,"$10,540",944.6%,"$52,252","11,643",27.9%,20.2%,90.5,Airlines,GA,"$29,431",DAL,2014,,,,,,,,,,,,,,,,,,,,,
Oracle,82,82,/company/oracle/,"$37,180",0.2%,"$10,925",9.5%,"$81,812","44,648",29.4%,13.4%,24.5,Computer Software,CA,"$182,413",ORCL,2014,,,,,,,,,,,,,,,,,,,,,
Morgan Stanley,83,83,/company/morgan-stanley/,"$36,848",13.9%,"$2,932",4211%,"$832,702","65,921",8%,0.4%,4.4,Commercial Banks,NY,"$61,581",MS,2014,,,,,,,,,,,,,,,,,,,,,
Hess,84,84,/company/hess/,"$36,694",-4.4%,"$5,052",149.5%,"$42,754","24,720",13.8%,11.8%,20.4,Petroleum Refining,NY,"$26,962",HES,2014,,,,,,,,,,,,,,,,,,,,,
Twenty-First Century Fox,85,85,/company/twenty-first-century-fox/,"$36,566",8.5%,"$7,097",502%,"$50,944","16,998",19.4%,13.9%,41.8,Entertainment,NY,"$72,148",,2014,,,,,,,,,,,,,,,,,,,,,
E.I. du Pont de Nemours and Company,86,86,/company/e-i-du-pont-de-nemours-and-company/,"$36,475",-7.7%,"$4,848",73.9%,"$51,499","16,229",13.3%,9.4%,29.9,Chemicals,DE,"$61,482",DD,2014,,,,,,,,,,,,,,,,,,,,,
Sears Holdings,87,87,/company/sears-holdings/,"$36,188",-9.2%,"$-1,365",,"$18,261","1,739",-3.8%,-7.5%,-78.5,General Merchandisers,IL,"$5,083",SHLD,2014,,,,,,,,,,,,,,,,,,,,,
New York Life Insurance,88,88,/company/new-york-life-insurance/,"$36,026",5%,"$1,326",-0.5%,"$236,749","17,854",3.7%,0.6%,7.4,"Insurance: Life, Health (Mutual)",NY,,,2014,,,,,,,,,,,,,,,,,,,,,
Mondelez International,89,89,/company/mondelez-international/,"$35,299",0.8%,"$3,915",27.6%,"$72,557","32,373",11.1%,5.4%,12.1,Food Consumer Products,IL,"$58,768",MDLZ,2014,,,,,,,,,,,,,,,,,,,,,
American Express,90,90,/company/american-express/,"$34,932",3.3%,"$5,359",19.6%,"$153,375","19,496",15.3%,3.5%,27.5,Commercial Banks,NY,"$95,663",AXP,2014,,,,,,,,,,,,,,,,,,,,,
Nationwide,91,91,/company/nationwide/,"$34,542",5.5%,$797,6.5%,"$171,234","14,408",2.3%,0.5%,5.5,Insurance: Property and Casualty (Mutual),OH,,,2014,,,,,,,,,,,,,,,,,,,,,
Allstate,92,92,/company/allstate/,"$34,507",3.6%,"$2,280",-1.1%,"$123,520","21,480",6.6%,1.8%,10.6,Insurance: Property and Casualty (Stock),IL,"$25,296",ALL,2014,,,,,,,,,,,,,,,,,,,,,
Tyson Foods,93,93,/company/tyson-foods/,"$34,482",3.6%,$778,33.4%,"$12,177","6,201",2.3%,6.4%,12.5,Food Production,AR,"$14,976",TSN,2014,,,,,,,,,,,,,,,,,,,,,
Supervalu Inc.,94,94,/company/supervalu-inc/,"$34,327",-4.9%,"$-1,466",,"$11,034","-1,415",-4.3%,-13.3%,,Food and Drug Stores,MN,"$1,776",SVU,2014,,,,,,,,,,,,,,,,,,,,,
TIAA,95,95,/company/tiaa/,"$33,817",5.2%,"$1,722",-16.4%,"$498,728","30,779",5.1%,0.3%,5.6,"Insurance: Life, Health (Mutual)",NY,,,2014,,,,,,,,,,,,,,,,,,,,,
Massachusetts Mutual Life Insurance,96,96,/company/massachusetts-mutual-life-insurance/,"$33,350",1.5%,$193,-82.6%,"$241,178","12,524",0.6%,0.1%,1.5,"Insurance: Life, Health (Mutual)",MA,,,2014,,,,,,,,,,,,,,,,,,,,,
Cigna,97,97,/company/cigna/,"$32,380",11.2%,"$1,476",-9.1%,"$54,336","10,567",4.6%,2.7%,14,Health Care: Insurance and Managed Care,CT,"$22,727",CI,2014,,,,,,,,,,,,,,,,,,,,,
DirecTV,98,98,/company/directv/,"$31,754",6.8%,"$2,859",-3.1%,"$21,905","-6,544",9%,13.1%,,Telecommunications,CA,"$38,933",,2014,,,,,,,,,,,,,,,,,,,,,
General Dynamics,99,99,/company/general-dynamics/,"$31,218",-0.9%,"$2,357",,"$35,448","14,501",7.6%,6.6%,16.3,Aerospace and Defense,VA,"$37,478",GD,2014,,,,,,,,,,,,,,,,,,,,,
Philip Morris International,100,100,/company/philip-morris-international/,"$31,217",-0.5%,"$8,576",-2.5%,"$38,168","-7,766",27.5%,22.5%,,Tobacco,NY,"$129,779",PM,2014,,,,,,,,,,,,,,,,,,,,,
3M,101,101,/company/3m/,"$30,871",3.2%,"$4,659",4.8%,"$33,550","17,502",15.1%,13.9%,26.6,zMiscellaneous,MN,"$89,900",MMM,2014,,,,,,,,,,,,,,,,,,,,,
Time Warner Inc.,102,102,/company/time-warner-inc/,"$29,795",3.7%,"$3,691",22.3%,"$67,994","29,904",12.4%,5.4%,12.3,Entertainment,NY,"$58,317",TWX,2014,,,,,,,,,,,,,,,,,,,,,
Halliburton,103,103,/company/halliburton/,"$29,402",3.2%,"$2,125",-19.4%,"$29,223","13,581",7.2%,7.3%,15.6,"Oil and Gas Equipment, Services",TX,"$50,107",HAL,2014,,,,,,,,,,,,,,,,,,,,,
Publix Super Markets,104,104,/company/publix-super-markets/,"$29,148",5.2%,"$1,654",6.6%,"$13,547","10,217",5.7%,12.2%,16.2,Food and Drug Stores,FL,,,2014,,,,,,,,,,,,,,,,,,,,,
International Paper,105,105,/company/international-paper/,"$29,080",4.5%,"$1,395",75.7%,"$31,528","8,105",4.8%,4.4%,17.2,Forest and Paper Products,TN,"$20,132",IP,2014,,,,,,,,,,,,,,,,,,,,,
McDonald's,106,106,/company/mcdonalds/,"$28,106",2%,"$5,586",2.2%,"$36,626","16,010",19.9%,15.3%,34.9,Food Services,IL,"$97,038",MCD,2014,,,,,,,,,,,,,,,,,,,,,
Macy's,107,107,/company/macys/,"$27,931",0.9%,"$1,486",11.3%,"$21,634","6,249",5.3%,6.9%,23.8,General Merchandisers,OH,"$21,879",M,2014,,,,,,,,,,,,,,,,,,,,,
TJX,108,108,/company/tjx/,"$27,423",6%,"$2,137",12.1%,"$10,201","4,230",7.8%,21%,50.5,Specialty Retailers: Apparel,MA,"$42,678",TJX,2014,,,,,,,,,,,,,,,,,,,,,
Fluor,109,109,/company/fluor/,"$27,352",-0.8%,$668,46.3%,"$8,324","3,757",2.4%,8%,17.8,"Engineering, Construction",TX,"$12,463",FLR,2014,,,,,,,,,,,,,,,,,,,,,
Northwestern Mutual,110,110,/company/northwestern-mutual/,"$26,978",3.9%,$802,2.4%,"$217,106","17,199",3%,0.4%,4.7,"Insurance: Life, Health (Mutual)",WI,,,2014,,,,,,,,,,,,,,,,,,,,,
Tech Data,111,111,/company/tech-data/,"$26,822",5.8%,$180,2.1%,"$7,170","2,099",0.7%,2.5%,8.6,Wholesalers: Electronics and Office Equipment,FL,"$2,327",TECD,2014,,,,,,,,,,,,,,,,,,,,,
American Airlines Group,112,112,/company/american-airlines-group/,"$26,743",7.6%,"$-1,834",,"$42,278","-2,731",-6.9%,-4.3%,,Airlines,TX,"$17,257",AAL,2014,,,,,,,,,,,,,,,,,,,,,
"The Hartford Financial Services Group, Inc.",113,113,/company/the-hartford-financial-services-group-inc/,"$26,341",-0.3%,$176,,"$277,884","18,905",0.7%,0.1%,0.9,Insurance: Property and Casualty (Stock),CT,"$15,742",HIG,2014,,,,,,,,,,,,,,,,,,,,,
Travelers,114,114,/company/travelers-cos/,"$26,191",1.8%,"$3,673",48.5%,"$103,812","24,796",14%,3.5%,14.8,Insurance: Property and Casualty (Stock),NY,"$29,983",TRV,2014,,,,,,,,,,,,,,,,,,,,,
Nike,115,115,/company/nike/,"$25,836",7.1%,"$2,485",11.8%,"$17,584","11,156",9.6%,14.1%,22.3,Apparel,OR,"$65,401",NKE,2014,,,,,,,,,,,,,,,,,,,,,
Occidental Petroleum,116,116,/company/occidental-petroleum/,"$25,736",6.1%,"$5,903",28.4%,"$69,443","43,126",22.9%,8.5%,13.7,"Mining, Crude-Oil Production",CA,"$75,731",OXY,2014,,,,,,,,,,,,,,,,,,,,,
Avnet,117,117,/company/avnet/,"$25,459",-1%,$450,-20.6%,"$10,475","4,289",1.8%,4.3%,10.5,Wholesalers: Electronics and Office Equipment,AZ,"$6,436",AVT,2014,,,,,,,,,,,,,,,,,,,,,
Rite Aid,118,118,/company/rite-aid/,"$25,392",-2.8%,$118,,"$7,079","-2,459",0.5%,1.7%,,Food and Drug Stores,PA,"$6,060",RADCQ,2014,,,,,,,,,,,,,,,,,,,,,
